Dataset,TrainingTime,TestingTime,TrainingAccuracy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
50words,146347.2,0.111,100,48.1319,450,455,270,0.7,1
Adiac,895.96,0.012,100,46.0358,390,391,176,0.9,1
ArrowHead,47.37,0.008,100,68.5714,36,175,251,0.9,1
Beef,1140.07,0.011,100,56.6667,30,30,470,0.025,0.2
BeetleFly,25.4,0.002,100,95,20,20,512,0.025,0.1
BirdChicken,32.05,0.002,100,85,20,20,512,0.025,0.1
Car,19824.39,0.045,100,85,60,60,577,0.025,0.3
CBF,5.4,0.037,100,93.8889,30,900,128,0.025,0.2
Coffee,19.5,0.002,100,89.2857,28,28,286,0.025,0.2
DiatomSizeReduction,2.43,0.003,100,89.2157,16,306,345,0.9,1
DistalPhalanxOutlineAgeGroup,5920.99,0.008,100,79,139,400,80,0.7,1
DistalPhalanxOutlineCorrect,8242.44,0.014,99.6377,77.6667,276,600,80,0.9,1
DistalPhalanxTW,21973.87,0.02,100,73.25,139,400,80,0.6,1
ECG200,126.77,0.002,100,86,100,100,96,0.9,1
ECGFiveDays,4.26,0.027,100,99.6516,23,861,136,0.025,0.3
FaceAll,26330.29,0.161,100,58.8757,560,1690,131,0.2,0.5
FaceFour,283.88,0.049,100,85.2273,24,88,350,0.3,0.6
FacesUCR,5917.57,0.459,100,65.3659,200,2050,131,0.3,0.6
FISH,290690.71,0.093,100,82.2857,175,175,463,0.025,0.2
Gun_Point,10.33,0.004,100,93.3333,50,150,150,0.025,0.3
Herring,7683.8,0.009,100,70.3125,64,64,512,0.025,0.1
InsectWingbeatSound,1921.29,0.231,100,50.303,220,1980,256,0.9,1
ItalyPowerDemand,11.08,0.04,100,95.2381,67,1029,24,0.3,0.6
Lighting2,3133.81,0.014,100,78.6885,60,61,637,0.9,1
Lighting7,11885.94,0.033,100,63.0137,70,73,319,0.6,1
MALLAT,7844.47,0.245,100,86.3966,55,2345,1024,0.8,1
Meat,57.18,0.001,100,86.6667,60,60,448,0.9,1
MiddlePhalanxOutlineAgeGroup,9866.13,0.011,100,74.25,154,400,80,0.7,1
MiddlePhalanxOutlineCorrect,11072.41,0.024,99.6564,67.8333,291,600,80,0.9,1
MiddlePhalanxTW,1580.52,0.012,100,59.3985,154,399,80,0.9,1
MoteStrain,1.03,0.031,100,84.7444,20,1252,84,0.025,0.2
OliveOil,909.4,0.01,100,86.6667,30,30,570,0.025,0.4
Plane,136.26,0.008,100,95.2381,105,105,144,0.2,0.5
ProximalPhalanxTW,565.54,0.009,99.5122,72.75,205,400,80,0.9,1
ShapeletSim,229.2,0.086,100,92.7778,20,180,500,0.025,0.2
SonyAIBORobotSurface,1.4,0.007,100,93.178,20,601,70,0.025,0.4
SonyAIBORobotSurfaceII,2.67,0.02,100,83.001,27,953,65,0.025,0.4
SwedishLeaf,7379.25,0.025,100,72.16,500,625,128,0.8,1
Symbols,6.58,0.028,100,88.1407,25,995,398,0.9,1
synthetic_control,854.46,0.009,100,92,300,300,60,0.7,1
ToeSegmentation1,30.44,0.02,100,92.5439,40,228,277,0.025,0.2
ToeSegmentation2,114.06,0.029,100,90.7692,36,130,343,0.025,0.3
Trace,507.71,0.026,100,100,100,100,275,0.025,0.3
TwoLeadECG,2.04,0.023,100,96.137,23,1139,82,0.025,0.3
Wine,3290.93,0.004,100,77.7778,57,54,234,0.025,0.4
