Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
CBF,13.05,0.0410,100.0000,92.7778,30,900,128,32,85
Coffee,84.55,0.0030,100.0000,82.1429,28,28,286,71,190
DiatomSizeReduction,143.37,0.0380,100.0000,70.9150,16,306,345,86,230
ECGFiveDays,14.23,0.0480,100.0000,96.1672,23,861,136,34,90
FaceFour,391.54,0.0530,100.0000,80.6818,24,88,350,87,233
ItalyPowerDemand,3.56,0.0040,100.0000,94.8494,67,1029,24,6,16
MoteStrain,6.47,0.0540,100.0000,79.5527,20,1252,84,21,56
ShapeletSim,1447.48,0.1370,100.0000,46.6667,20,180,500,125,333
SonyAIBORobotSurface,1.81,0.0060,100.0000,88.0200,20,601,70,17,46
SonyAIBORobotSurfaceII,4.80,0.0090,100.0000,83.0010,27,953,65,16,43
ToeSegmentation2,367.49,0.0340,100.0000,86.9231,36,130,343,85,228
TwoLeadECG,1.98,0.0120,100.0000,88.4987,23,1139,82,20,54
ArrowHead,1316.93,0.0430,100.0000,57.7143,36,175,251,62,167
Beef,13683.79,0.0390,100.0000,56.6667,30,30,470,117,313
BeetleFly,651.18,0.0110,100.0000,65.0000,20,20,512,128,341
BirdChicken,5147.89,0.0070,100.0000,70.0000,20,20,512,128,341
ECG200,2233.77,0.0030,100.0000,80.0000,100,100,96,24,64
Gun_Point,364.25,0.0050,100.0000,93.3333,50,150,150,37,100
Meat,1871.86,0.0260,100.0000,83.3333,60,60,448,112,298
OliveOil,2257.73,0.0320,100.0000,73.3333,30,30,570,142,380
Plane,241.91,0.0070,100.0000,93.3333,105,105,144,36,96
Symbols,821.95,1.1060,100.0000,76.1809,25,995,398,99,265
ToeSegmentation1,889.09,0.0380,100.0000,88.5965,40,228,277,69,184
Trace,764.47,0.0240,100.0000,97.0000,100,100,275,68,183
Wine,6793.29,0.0030,100.0000,74.0741,57,54,234,58,156
synthetic_control,1790.96,0.0110,99.6667,88.0000,300,300,60,15,40
MALLAT,78687.89,3.9630,100.0000,82.3454,55,2345,1024,256,682
Adiac,34569.17,0.0610,100.0000,43.9898,390,391,176,44,117
InsectWingbeatSound,63189.93,1.1520,100.0000,48.3333,220,1980,256,64,170
DistalPhalanxOutlineAgeGroup,26566.09,0.0170,100.0000,72.0000,139,400,80,20,53
DistalPhalanxTW,17217.05,0.0190,100.0000,71.0000,139,400,80,20,53
Lighting7,15956.08,0.0630,100.0000,54.7945,70,73,319,79,212
Herring,162098.05,0.0480,100.0000,53.1250,64,64,512,128,341
MiddlePhalanxOutlineAgeGroup,73301.38,0.0170,100.0000,73.5000,154,400,80,20,53
MiddlePhalanxTW,30547.93,0.0190,100.0000,54.1353,154,399,80,20,53
FaceAll,83157.32,0.2610,100.0000,56.5680,560,1690,131,32,87
Car,97565.09,0.0420,100.0000,76.6667,60,60,577,144,384
ProximalPhalanxTW,50132.38,0.0190,99.5122,68.7500,205,400,80,20,53
FacesUCR,2015.39,0.4620,100.0000,64.0000,200,2050,131,32,87
SwedishLeaf,113121.90,0.0740,100.0000,73.1200,500,625,128,32,85
Lighting2,271309.27,0.1420,100.0000,75.4098,60,61,637,159,424
MiddlePhalanxOutlineCorrect,240197.29,0.0280,100.0000,73.8333,291,600,80,20,53
DistalPhalanxOutlineCorrect,362056.18,0.0260,99.6377,72.8333,276,600,80,20,53
