Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
CBF,1.88,0.0680,100.0000,94.2222,30,900,129,86,43
CBF,1.08,0.0340,100.0000,93.1111,30,900,129,86,43
CBF,1.05,0.0310,100.0000,96.1111,30,900,129,86,43
CBF,1.02,0.0340,100.0000,93.8889,30,900,129,86,43
CBF,1.01,0.0440,100.0000,95.3333,30,900,129,86,43
CBF,1.01,0.0340,100.0000,94.0000,30,900,129,86,43
CBF,1.01,0.0350,100.0000,95.7778,30,900,129,86,43
CBF,1.01,0.0410,100.0000,93.1111,30,900,129,86,43
CBF,1.09,0.0370,100.0000,94.5556,30,900,129,86,43
CBF,1.09,0.0350,100.0000,92.2222,30,900,129,86,43
Coffee,3.57,0.0020,100.0000,92.8571,28,28,287,191,95
Coffee,3.55,0.0030,100.0000,92.8571,28,28,287,191,95
Coffee,3.56,0.0030,100.0000,92.8571,28,28,287,191,95
Coffee,3.55,0.0020,100.0000,92.8571,28,28,287,191,95
Coffee,3.50,0.0030,100.0000,92.8571,28,28,287,191,95
Coffee,3.52,0.0020,100.0000,92.8571,28,28,287,191,95
Coffee,3.49,0.0030,100.0000,92.8571,28,28,287,191,95
Coffee,3.49,0.0030,100.0000,92.8571,28,28,287,191,95
Coffee,3.52,0.0030,100.0000,89.2857,28,28,287,191,95
Coffee,3.52,0.0030,100.0000,92.8571,28,28,287,191,95
DiatomSizeReduction,4.22,0.0650,100.0000,85.9477,16,306,346,230,115
DiatomSizeReduction,4.19,0.0660,100.0000,91.1765,16,306,346,230,115
DiatomSizeReduction,4.20,0.0670,100.0000,89.5425,16,306,346,230,115
DiatomSizeReduction,4.18,0.0650,100.0000,85.2941,16,306,346,230,115
DiatomSizeReduction,4.20,0.0580,100.0000,91.1765,16,306,346,230,115
DiatomSizeReduction,4.17,0.0660,100.0000,89.8693,16,306,346,230,115
DiatomSizeReduction,4.19,0.0570,100.0000,84.9673,16,306,346,230,115
DiatomSizeReduction,4.19,0.0650,100.0000,90.8497,16,306,346,230,115
DiatomSizeReduction,4.17,0.0580,100.0000,89.2157,16,306,346,230,115
DiatomSizeReduction,4.20,0.0560,100.0000,86.6013,16,306,346,230,115
ECGFiveDays,0.46,0.0270,100.0000,99.8839,23,861,137,91,45
ECGFiveDays,0.46,0.0340,100.0000,99.4193,23,861,137,91,45
ECGFiveDays,0.46,0.0340,100.0000,99.4193,23,861,137,91,45
ECGFiveDays,0.46,0.0260,100.0000,100.0000,23,861,137,91,45
ECGFiveDays,0.46,0.0260,100.0000,99.8839,23,861,137,91,45
ECGFiveDays,0.46,0.0280,100.0000,99.3031,23,861,137,91,45
ECGFiveDays,0.47,0.0280,100.0000,99.3031,23,861,137,91,45
ECGFiveDays,0.45,0.0280,100.0000,99.8839,23,861,137,91,45
ECGFiveDays,0.46,0.0270,100.0000,100.0000,23,861,137,91,45
ECGFiveDays,0.46,0.0270,100.0000,99.8839,23,861,137,91,45
FaceFour,13.01,0.0310,100.0000,88.6364,24,88,351,234,117
FaceFour,12.96,0.0320,100.0000,88.6364,24,88,351,234,117
FaceFour,12.97,0.0300,100.0000,89.7727,24,88,351,234,117
FaceFour,12.94,0.0320,100.0000,89.7727,24,88,351,234,117
FaceFour,12.94,0.0320,100.0000,88.6364,24,88,351,234,117
FaceFour,12.97,0.0310,100.0000,90.9091,24,88,351,234,117
FaceFour,13.02,0.0310,100.0000,92.0455,24,88,351,234,117
FaceFour,12.92,0.0300,100.0000,92.0455,24,88,351,234,117
FaceFour,12.97,0.0320,100.0000,88.6364,24,88,351,234,117
FaceFour,12.98,0.0320,100.0000,88.6364,24,88,351,234,117
ItalyPowerDemand,0.17,0.0060,98.5075,77.4538,67,1029,25,16,8
ItalyPowerDemand,0.11,0.0050,100.0000,93.0029,67,1029,25,16,8
ItalyPowerDemand,0.08,0.0160,95.5224,89.6987,67,1029,25,16,8
ItalyPowerDemand,0.10,0.0050,95.5224,89.8931,67,1029,25,16,8
ItalyPowerDemand,0.11,0.0100,100.0000,81.6327,67,1029,25,16,8
ItalyPowerDemand,0.13,0.0120,98.5075,87.0748,67,1029,25,16,8
ItalyPowerDemand,0.13,0.0050,98.5075,86.9776,67,1029,25,16,8
ItalyPowerDemand,0.08,0.0050,98.5075,84.3537,67,1029,25,16,8
ItalyPowerDemand,0.07,0.0040,100.0000,85.1312,67,1029,25,16,8
ItalyPowerDemand,0.07,0.0050,98.5075,84.3537,67,1029,25,16,8
MoteStrain,0.15,0.0160,95.0000,70.3674,20,1252,85,56,28
MoteStrain,0.15,0.0170,95.0000,70.3674,20,1252,85,56,28
MoteStrain,0.15,0.0160,95.0000,70.3674,20,1252,85,56,28
MoteStrain,0.15,0.0150,95.0000,69.4089,20,1252,85,56,28
MoteStrain,0.15,0.0150,95.0000,74.4409,20,1252,85,56,28
MoteStrain,0.14,0.0160,95.0000,70.3674,20,1252,85,56,28
MoteStrain,0.15,0.0160,95.0000,70.3674,20,1252,85,56,28
MoteStrain,0.15,0.0160,95.0000,69.4089,20,1252,85,56,28
MoteStrain,0.15,0.0160,95.0000,70.3674,20,1252,85,56,28
MoteStrain,0.14,0.0150,95.0000,70.3674,20,1252,85,56,28
ShapeletSim,26.65,0.1340,100.0000,51.6667,20,180,501,334,167
ShapeletSim,16.75,0.0800,95.0000,52.7778,20,180,501,334,167
ShapeletSim,26.64,0.1240,100.0000,77.7778,20,180,501,334,167
ShapeletSim,26.67,0.1230,100.0000,76.1111,20,180,501,334,167
ShapeletSim,26.63,0.1070,100.0000,45.0000,20,180,501,334,167
ShapeletSim,16.74,0.0800,95.0000,65.0000,20,180,501,334,167
ShapeletSim,16.74,0.0800,95.0000,56.6667,20,180,501,334,167
ShapeletSim,26.66,0.1190,100.0000,73.8889,20,180,501,334,167
ShapeletSim,16.80,0.0800,95.0000,53.8889,20,180,501,334,167
ShapeletSim,16.71,0.0820,95.0000,51.1111,20,180,501,334,167
SonyAIBORobotSurface,0.43,0.0330,100.0000,68.5524,20,601,71,47,23
SonyAIBORobotSurface,0.31,0.0100,100.0000,68.5524,20,601,71,47,23
SonyAIBORobotSurface,0.31,0.0080,100.0000,68.5524,20,601,71,47,23
SonyAIBORobotSurface,0.14,0.0270,100.0000,68.5524,20,601,71,47,23
SonyAIBORobotSurface,0.22,0.0200,100.0000,68.5524,20,601,71,47,23
SonyAIBORobotSurface,0.23,0.0120,100.0000,68.5524,20,601,71,47,23
SonyAIBORobotSurface,0.28,0.0250,100.0000,68.5524,20,601,71,47,23
SonyAIBORobotSurface,0.15,0.0060,100.0000,68.5524,20,601,71,47,23
SonyAIBORobotSurface,0.12,0.0160,100.0000,68.5524,20,601,71,47,23
SonyAIBORobotSurface,0.10,0.0060,100.0000,68.5524,20,601,71,47,23
SonyAIBORobotSurfaceII,0.14,0.0070,96.2963,79.0136,27,953,66,44,22
SonyAIBORobotSurfaceII,0.14,0.0250,96.2963,79.0136,27,953,66,44,22
SonyAIBORobotSurfaceII,0.13,0.0120,96.2963,72.6128,27,953,66,44,22
SonyAIBORobotSurfaceII,0.12,0.0090,96.2963,79.0136,27,953,66,44,22
SonyAIBORobotSurfaceII,0.13,0.0070,96.2963,79.0136,27,953,66,44,22
SonyAIBORobotSurfaceII,0.12,0.0070,96.2963,79.0136,27,953,66,44,22
SonyAIBORobotSurfaceII,0.15,0.0080,96.2963,79.0136,27,953,66,44,22
SonyAIBORobotSurfaceII,0.13,0.0080,96.2963,79.0136,27,953,66,44,22
SonyAIBORobotSurfaceII,0.16,0.0070,96.2963,79.0136,27,953,66,44,22
SonyAIBORobotSurfaceII,0.13,0.0070,96.2963,79.0136,27,953,66,44,22
ToeSegmentation2,8.47,0.0210,100.0000,90.7692,36,130,344,229,114
ToeSegmentation2,7.94,0.0180,97.2222,76.9231,36,130,344,229,114
