Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen
ItalyPowerDemand,1.29,0.0060,100.0000,92.8086,67,1029,24,0.300000,0.600000
ItalyPowerDemand,1.05,0.0050,100.0000,91.2536,67,1029,24,0.300000,0.600000
ItalyPowerDemand,1.14,0.0060,100.0000,94.5578,67,1029,24,0.300000,0.600000
ItalyPowerDemand,1.26,0.0060,100.0000,89.6016,67,1029,24,0.300000,0.600000
ItalyPowerDemand,0.97,0.0050,100.0000,95.3353,67,1029,24,0.300000,0.600000
ItalyPowerDemand,1.19,0.0040,100.0000,89.4072,67,1029,24,0.300000,0.600000
ItalyPowerDemand,1.19,0.0050,100.0000,89.4072,67,1029,24,0.300000,0.600000
ItalyPowerDemand,0.96,0.0060,100.0000,89.9903,67,1029,24,0.300000,0.600000
ItalyPowerDemand,1.25,0.0050,100.0000,90.4762,67,1029,24,0.300000,0.600000
ItalyPowerDemand,1.04,0.0050,100.0000,93.8776,67,1029,24,0.300000,0.600000
CBF,1.15,0.0380,100.0000,93.2222,30,900,128,0.025000,0.200000
CBF,0.95,0.0350,100.0000,88.6667,30,900,128,0.025000,0.200000
CBF,0.93,0.0310,100.0000,83.0000,30,900,128,0.025000,0.200000
CBF,0.85,0.0250,100.0000,71.5556,30,900,128,0.025000,0.200000
CBF,1.04,0.0250,100.0000,64.4444,30,900,128,0.025000,0.200000
CBF,0.95,0.0450,100.0000,81.8889,30,900,128,0.025000,0.200000
CBF,1.02,0.0440,100.0000,85.4444,30,900,128,0.025000,0.200000
CBF,1.04,0.0240,100.0000,71.0000,30,900,128,0.025000,0.200000
CBF,0.96,0.0390,100.0000,87.2222,30,900,128,0.025000,0.200000
CBF,1.08,0.0340,100.0000,87.5556,30,900,128,0.025000,0.200000
Coffee,0.93,0.0030,100.0000,92.8571,28,28,286,0.025000,0.200000
Coffee,1.16,0.0020,100.0000,92.8571,28,28,286,0.025000,0.200000
Coffee,0.98,0.0030,100.0000,92.8571,28,28,286,0.025000,0.200000
Coffee,1.13,0.0030,100.0000,92.8571,28,28,286,0.025000,0.200000
Coffee,1.06,0.0030,100.0000,92.8571,28,28,286,0.025000,0.200000
Coffee,1.09,0.0030,100.0000,92.8571,28,28,286,0.025000,0.200000
Coffee,0.95,0.0020,100.0000,92.8571,28,28,286,0.025000,0.200000
Coffee,1.22,0.0020,100.0000,92.8571,28,28,286,0.025000,0.200000
Coffee,1.01,0.0020,100.0000,92.8571,28,28,286,0.025000,0.200000
Coffee,0.86,0.0040,100.0000,92.8571,28,28,286,0.025000,0.200000
ECGFiveDays,0.64,0.0290,100.0000,99.0708,23,861,136,0.025000,0.300000
ECGFiveDays,0.59,0.0290,100.0000,99.7677,23,861,136,0.025000,0.300000
ECGFiveDays,0.66,0.0280,100.0000,99.7677,23,861,136,0.025000,0.300000
ECGFiveDays,0.70,0.0290,100.0000,99.0708,23,861,136,0.025000,0.300000
ECGFiveDays,0.79,0.0270,100.0000,99.4193,23,861,136,0.025000,0.300000
ECGFiveDays,0.72,0.0290,100.0000,99.8839,23,861,136,0.025000,0.300000
ECGFiveDays,0.82,0.0280,100.0000,99.7677,23,861,136,0.025000,0.300000
ECGFiveDays,0.64,0.0270,100.0000,98.2578,23,861,136,0.025000,0.300000
ECGFiveDays,0.73,0.0300,100.0000,100.0000,23,861,136,0.025000,0.300000
ECGFiveDays,0.58,0.0290,100.0000,98.4901,23,861,136,0.025000,0.300000
MoteStrain,0.46,0.0170,100.0000,83.5463,20,1252,84,0.025000,0.200000
MoteStrain,0.46,0.0160,100.0000,82.6677,20,1252,84,0.025000,0.200000
MoteStrain,0.86,0.0190,100.0000,84.1853,20,1252,84,0.025000,0.200000
MoteStrain,0.39,0.0140,100.0000,81.8690,20,1252,84,0.025000,0.200000
MoteStrain,0.76,0.0180,100.0000,84.0256,20,1252,84,0.025000,0.200000
MoteStrain,0.57,0.0080,100.0000,70.6070,20,1252,84,0.025000,0.200000
MoteStrain,0.40,0.0150,100.0000,85.1438,20,1252,84,0.025000,0.200000
