Dataset,TrainingTime,TestingTime,TrainingAccuacy,TestingAccuracy,TrainSize,TestSize,TSLen,MinLen,MaxLen,EnsembleSize
ItalyPowerDemand,4.25,0.1220,100.0000,95.6268,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,4.08,0.1190,100.0000,95.3353,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,4.18,0.1260,100.0000,95.7240,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,4.05,0.1190,100.0000,95.6268,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,4.25,0.1180,100.0000,95.4325,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,4.53,0.1200,100.0000,95.0437,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,4.36,0.1050,100.0000,94.4606,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,3.81,0.1090,100.0000,96.1127,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,5.01,0.1200,100.0000,95.7240,67,1029,24,0.300000,0.600000,10
ItalyPowerDemand,3.81,0.1220,100.0000,94.4606,67,1029,24,0.300000,0.600000,10
CBF,2.47,0.3540,100.0000,96.2222,30,900,128,0.025000,0.200000,10
CBF,2.41,0.3470,100.0000,95.5556,30,900,128,0.025000,0.200000,10
CBF,2.73,0.4080,100.0000,98.5556,30,900,128,0.025000,0.200000,10
CBF,2.07,0.3590,100.0000,97.6667,30,900,128,0.025000,0.200000,10
CBF,2.26,0.3750,100.0000,96.8889,30,900,128,0.025000,0.200000,10
CBF,2.26,0.3660,100.0000,96.6667,30,900,128,0.025000,0.200000,10
CBF,2.29,0.3890,100.0000,96.8889,30,900,128,0.025000,0.200000,10
CBF,2.81,0.3580,100.0000,97.8889,30,900,128,0.025000,0.200000,10
CBF,2.58,0.3480,100.0000,94.7778,30,900,128,0.025000,0.200000,10
CBF,2.34,0.3460,100.0000,96.8889,30,900,128,0.025000,0.200000,10
Coffee,3.02,0.0230,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.32,0.0250,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.22,0.0240,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.38,0.0260,100.0000,96.4286,28,28,286,0.025000,0.200000,10
Coffee,3.24,0.0210,100.0000,92.8571,28,28,286,0.025000,0.200000,10
Coffee,3.48,0.0260,100.0000,92.8571,28,28,286,0.025000,0.200000,10
